ensemble,metric,estimate,ci95_low,ci95_high
MC reference,energy_mean,-1.42296328125,-1.4241724169921874,-1.421749367675781
MC reference,abs_magnetization_mean,0.59892001953125,0.594289755859375,0.6024908557128905
MC reference,binder_u4,0.6103215989893709,0.6073201451945057,0.6125714317187706
MC reference,xi_over_l,0.9011870921555587,0.8784361651269548,0.9188408965420891
Model pooled,energy_mean,-1.4157000647650824,-1.4179366535610622,-1.4133393552568223
Model pooled,abs_magnetization_mean,0.5957197613186307,0.5892507526609634,0.6015111764272054
Model pooled,binder_u4,0.6067999984556338,0.6028427558582399,0.6103273338807855
Model pooled,xi_over_l,0.899136013764012,0.8754695991308626,0.9224371144935984
