seed,energy_mean,magnetization_mean,abs_magnetization_mean,binder_u4,xi_over_l
s1234,-1.4159348805745442,-0.0315405527750651,0.5973351796468099,0.6077346184445878,0.9004424325611625
s2345,-1.4173634847005208,-0.02714856465657552,0.5988591512044271,0.6079337462484569,0.9070975497682072
s3456,-1.4138018290201824,-0.03345076243082682,0.5909649531046549,0.6047666848552795,0.8898957646301632
