ensemble,metric,estimate,ci95_low,ci95_high
MC reference,energy_mean,-1.418609716796875,-1.4190625494384765,-1.4181212103271483
MC reference,abs_magnetization_mean,0.5498520141601563,0.5463384902954102,0.5538225805664062
MC reference,binder_u4,0.6111013664462699,0.6079577611458216,0.6144192447711915
MC reference,xi_over_l,0.9047244742404627,0.8874811879125792,0.9266221918436048
Model pooled,energy_mean,-1.4204969935946994,-1.421873919169108,-1.4192071292135453
Model pooled,abs_magnetization_mean,0.608873552746243,0.6015227099259695,0.6162241074774
Model pooled,binder_u4,0.6261412281099035,0.6215999830626235,0.630480885807503
Model pooled,xi_over_l,1.1959436953062945,1.1349346823764295,1.2603171238690305
