2026/08/19 19:28:24.390, 0, 0, 2, 32607, 15.00, 30, 180
2026/08/19 19:28:29.405, 0, 1, 2, 32607, 15.15, 30, 180
2026/08/19 19:28:34.405, 0, 0, 516, 32607, 16.91, 30, 180
2026/08/19 19:28:39.406, 100, 27, 13476, 32607, 451.00, 51, 2820
2026/08/19 19:28:44.407, 100, 25, 13476, 32607, 453.01, 49, 2820
2026/08/19 19:28:49.407, 100, 32, 13476, 32607, 452.15, 50, 2812
2026/08/19 19:28:54.408, 99, 54, 13476, 32607, 448.12, 54, 2797
2026/08/19 19:28:59.409, 100, 54, 13476, 32607, 446.58, 55, 2790
2026/08/19 19:29:04.410, 100, 58, 13476, 32607, 446.75, 58, 2782
2026/08/19 19:29:09.410, 99, 56, 13476, 32607, 446.75, 58, 2782
2026/08/19 19:29:14.411, 100, 56, 13476, 32607, 447.05, 58, 2782
2026/08/19 19:29:19.412, 100, 57, 13476, 32607, 447.17, 60, 2775
2026/08/19 19:29:24.412, 99, 56, 13476, 32607, 448.51, 60, 2775
2026/08/19 19:29:29.413, 100, 56, 13476, 32607, 446.77, 62, 2782
2026/08/19 19:29:34.414, 98, 55, 13476, 32607, 446.07, 61, 2775
2026/08/19 19:29:39.414, 100, 49, 13476, 32607, 451.14, 61, 2767
2026/08/19 19:29:44.415, 99, 24, 13476, 32607, 453.17, 59, 2760
2026/08/19 19:29:49.416, 100, 20, 13476, 32607, 450.45, 62, 2752
2026/08/19 19:29:54.416, 100, 27, 13476, 32607, 449.97, 65, 2752
2026/08/19 19:29:59.417, 100, 48, 13476, 32607, 448.82, 64, 2737
2026/08/19 19:30:04.417, 99, 56, 13476, 32607, 446.90, 64, 2745
2026/08/19 19:30:09.418, 99, 35, 13476, 32607, 452.44, 63, 2752
2026/08/19 19:30:14.419, 100, 24, 13476, 32607, 450.38, 65, 2752
2026/08/19 19:30:19.420, 100, 29, 13476, 32607, 449.54, 65, 2745
2026/08/19 19:30:24.420, 100, 56, 13476, 32607, 448.36, 65, 2737
2026/08/19 19:30:29.421, 97, 42, 13476, 32607, 450.70, 65, 2745
2026/08/19 19:30:34.422, 100, 20, 13476, 32607, 451.06, 65, 2745
2026/08/19 19:30:39.422, 100, 32, 13476, 32607, 449.64, 67, 2730
2026/08/19 19:30:44.423, 99, 60, 13476, 32607, 448.36, 68, 2730
2026/08/19 19:30:49.424, 100, 28, 13476, 32607, 450.03, 63, 2737
2026/08/19 19:30:54.425, 100, 21, 13476, 32607, 451.81, 66, 2737
2026/08/19 19:30:59.425, 100, 56, 13476, 32607, 448.58, 68, 2730
2026/08/19 19:31:04.426, 100, 23, 13476, 32607, 450.33, 66, 2745
2026/08/19 19:31:09.427, 100, 40, 13476, 32607, 452.44, 68, 2730
2026/08/19 19:31:14.428, 99, 55, 13476, 32607, 446.96, 66, 2730
2026/08/19 19:31:19.428, 100, 22, 13476, 32607, 450.09, 65, 2745
2026/08/19 19:31:24.429, 100, 29, 13476, 32607, 449.91, 68, 2737
2026/08/19 19:31:29.430, 98, 56, 13476, 32607, 448.08, 68, 2730
2026/08/19 19:31:34.430, 100, 32, 13476, 32607, 449.83, 66, 2737
2026/08/19 19:31:39.431, 100, 21, 13476, 32607, 451.87, 67, 2737
2026/08/19 19:31:44.432, 99, 60, 13476, 32607, 448.56, 69, 2722
2026/08/19 19:31:49.433, 100, 40, 13476, 32607, 451.22, 67, 2730
2026/08/19 19:31:54.433, 100, 26, 13476, 32607, 451.30, 68, 2737
2026/08/19 19:31:59.434, 100, 50, 13476, 32607, 448.85, 67, 2722
2026/08/19 19:32:04.435, 100, 52, 13476, 32607, 449.85, 67, 2730
2026/08/19 19:32:09.436, 100, 22, 13476, 32607, 450.58, 67, 2737
2026/08/19 19:32:14.437, 100, 43, 13476, 32607, 449.26, 68, 2722
2026/08/19 19:32:19.438, 100, 52, 13476, 32607, 448.52, 69, 2737
2026/08/19 19:32:24.438, 100, 26, 13476, 32607, 450.41, 65, 2737
2026/08/19 19:32:29.439, 100, 33, 13476, 32607, 452.40, 69, 2730
2026/08/19 19:32:34.440, 99, 55, 13476, 32607, 448.34, 67, 2722
2026/08/19 19:32:39.440, 100, 24, 13476, 32607, 450.11, 64, 2730
2026/08/19 19:32:44.441, 100, 26, 13476, 32607, 449.96, 67, 2722
2026/08/19 19:32:49.442, 100, 60, 13476, 32607, 448.24, 69, 2722
2026/08/19 19:32:54.443, 100, 20, 13476, 32607, 449.98, 65, 2730
2026/08/19 19:32:59.443, 100, 29, 13476, 32607, 449.94, 68, 2722
2026/08/19 19:33:04.444, 100, 58, 13476, 32607, 447.58, 69, 2730
2026/08/19 19:33:09.445, 100, 23, 13476, 32607, 450.01, 64, 2737
2026/08/19 19:33:14.446, 100, 28, 13476, 32607, 449.95, 69, 2737
2026/08/19 19:33:19.447, 100, 56, 13476, 32607, 447.80, 68, 2730
2026/08/19 19:33:24.447, 100, 30, 13476, 32607, 449.83, 66, 2737
2026/08/19 19:33:29.448, 85, 52, 13476, 32607, 424.81, 68, 2752
2026/08/19 19:33:34.449, 99, 34, 13476, 32607, 451.99, 67, 2730
2026/08/19 19:33:39.450, 100, 22, 13476, 32607, 450.08, 67, 2730
2026/08/19 19:33:44.451, 99, 57, 13476, 32607, 448.58, 69, 2722
2026/08/19 19:33:49.451, 100, 35, 13476, 32607, 449.52, 67, 2730
2026/08/19 19:33:54.452, 100, 21, 13476, 32607, 451.77, 67, 2730
2026/08/19 19:33:59.453, 99, 60, 13476, 32607, 448.37, 69, 2722
2026/08/19 19:34:04.453, 100, 36, 13476, 32607, 451.74, 67, 2737
2026/08/19 19:34:09.454, 100, 22, 13476, 32607, 450.06, 68, 2737
2026/08/19 19:34:14.455, 99, 60, 13476, 32607, 448.87, 69, 2722
2026/08/19 19:34:19.455, 100, 37, 13476, 32607, 451.44, 67, 2737
2026/08/19 19:34:24.456, 100, 23, 13476, 32607, 451.69, 68, 2737
2026/08/19 19:34:29.457, 98, 59, 13476, 32607, 448.31, 69, 2730
2026/08/19 19:34:34.457, 99, 35, 13476, 32607, 451.75, 67, 2737
2026/08/19 19:34:39.458, 100, 20, 13476, 32607, 450.08, 68, 2730
2026/08/19 19:34:44.459, 99, 58, 13476, 32607, 448.84, 69, 2715
2026/08/19 19:34:49.459, 100, 35, 13476, 32607, 452.10, 67, 2730
2026/08/19 19:34:54.460, 100, 24, 13476, 32607, 450.08, 67, 2730
2026/08/19 19:34:59.461, 99, 56, 13476, 32607, 448.35, 69, 2715
2026/08/19 19:35:04.462, 100, 34, 13476, 32607, 449.70, 67, 2730
2026/08/19 19:35:09.462, 100, 23, 13476, 32607, 450.07, 67, 2737
2026/08/19 19:35:14.463, 99, 56, 13476, 32607, 448.25, 69, 2722
2026/08/19 19:35:19.464, 100, 33, 13476, 32607, 452.26, 66, 2737
2026/08/19 19:35:24.464, 100, 25, 13476, 32607, 452.04, 67, 2737
2026/08/19 19:35:29.465, 97, 56, 13476, 32607, 447.53, 68, 2730
2026/08/19 19:35:34.466, 99, 27, 13476, 32607, 450.00, 65, 2730
2026/08/19 19:35:39.466, 100, 28, 13476, 32607, 448.61, 69, 2730
